,Attack_Index,Finesse_Factor
55,65.45926721008692,78.31759296178193
16,52.92366206684549,31.859839421545495
4,55.57399397506645,84.3896413066524
81,49.99776136304985,50.82228426265366
11,17.914065371659937,64.96964013380064
18,46.83918054269664,54.555849330180365
22,19.925775658534796,100.0
14,45.54051624425783,24.492968516621605
27,50.29357587764237,31.229731540741522
20,46.59397127909443,18.718756937941464
23,52.23670005977904,53.468220506791965
3,46.850570293827666,53.6438775819525
10,0.0,0.0
77,39.035267059636624,58.80081920126122
24,82.83699033024226,55.54186060047418
31,24.066858699850954,18.327389818668312
63,43.21214581206143,46.022657141062524
44,93.4468536821601,6.299573081222369
1,100.0,44.85304789183569
