,Attack_Index,Finesse_Factor
1,100.0,9.61142909855078
11,71.29190753813455,47.16977436359874
55,25.121176158569376,15.08386087265945
16,0.0,48.708305818449006
63,22.44386830649193,32.30781990525543
4,32.00023367438536,3.1536389031719145
44,38.36489982359652,14.460624148138882
81,35.19514764864222,11.573097396751963
14,11.855070326378153,44.73121863988938
18,18.66541034949338,35.58750520504101
24,19.1617371643549,52.93443997976426
20,15.689551941514202,27.315645879421496
3,50.024763893541405,85.40094072299685
22,42.24650107441188,88.94194056424341
23,6.792769631649875,43.616650563182006
27,35.76470943639396,17.450647459108406
31,30.373328889153523,25.032715857944343
10,46.03551594808351,100.0
77,41.594449461244906,47.42692210826813
2,34.656122707904686,0.0
