,Attack_Index,Finesse_Factor
4,8.25066631228341,33.988490667318764
1,0.0,33.808350524573115
16,62.86335314356716,33.356005366421435
81,17.536571017008974,49.34768954416093
55,61.172889816045796,35.584286669684055
11,11.573575745242321,40.95243989458095
63,15.150431481177016,17.032605371687026
44,45.61975195070924,48.63463547464418
10,10.709378977555566,37.54870421438306
14,18.90736463703804,54.917104818939244
27,36.14877869264219,56.1153950410292
3,27.5091384884064,72.31837189576514
18,15.337524374889554,55.85558098096922
23,43.867073609630616,97.54036046879376
31,27.388255024155512,53.69712223276056
2,14.080405973725352,48.92668097398442
22,56.16063054849665,100.00000000000003
20,100.0,25.77878099787103
77,44.593830870865375,3.5145817430041784
24,38.90431135617652,0.0
